model_key,contest_number,contest_name,contest_family,candidate,candidate_clean,candidate_votes,contest_votes,candidate_share,n_precincts,base_r2,expanded_r2,gain_vs_base,r2_no_prior,prior_unique_gain,r2_prior_only,new_demo_unique_gain,prior_count,prior_cols,mean_abs_resid_pp,valid_model,reliability
47_abi_ananiah_prudent,47,REP CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Abi-Ananiah Prudent,ABI ANANIAH PRUDENT,1907,1907,100.0,143,-inf,-inf,,-inf,,,,0,,4.978767980640702e-14,False,exclude
14_robert_white,14,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Robert White,ROBERT WHITE,62389,98821,63.13334210339907,144,0.5982073245933831,0.6988059079447951,0.10059858335141203,0.6988059079447951,0.0,,0.10059858335141203,0,,5.748403533602966,True,low
14_brooke_pinto,14,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Brooke Pinto,BROOKE PINTO,21404,98821,21.659363900385546,144,0.5500377391511134,0.6303119366045027,0.08027419745338926,0.6303119366045027,0.0,,0.08027419745338926,0,,4.658333885389131,True,medium
14_kinney_zalesne,14,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Kinney Zalesne,KINNEY ZALESNE,7726,98821,7.818176298560022,144,0.4743404858544288,0.6215967444711857,0.14725625861675695,0.6215967444711857,0.0,,0.14725625861675695,0,,1.738914538303379,True,medium
14_greg_jaczko,14,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Greg Jaczko,GREG JACZKO,2805,98821,2.8384655083433685,144,0.3517192024888405,0.37310453482551054,0.02138533233667006,0.37310453482551054,0.0,,0.02138533233667006,0,,0.6560852807784485,True,low
14_trent_holbrook,14,DEM DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES,Trent Holbrook,TRENT HOLBROOK,4497,98821,4.550652189311989,144,0.28912114118035026,0.35668357755696967,0.0675624363766194,0.35668357755696967,0.0,,0.0675624363766194,0,,1.0419726125441986,True,low
45_denise_rosado,45,REP DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,Denise Rosado,DENISE ROSADO,2057,2057,100.0,143,-inf,-inf,,-inf,,,,0,,4.6707005008006585e-14,False,exclude
64_kymone_freeman,64,STG DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,DELEGATE TO THE U S HOUSE OF REPRESENTATIVES FROM THE DISTRICT OF COLUMBIA,Kymone Freeman,KYMONE FREEMAN,451,451,100.0,125,-inf,-inf,,-inf,,,,0,,8.674305718159303e-14,False,exclude
15_vincent_orange_vo,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,"Vincent Orange (""VO"")",VINCENT ORANGE VO,2733,102020,2.67888649284454,144,0.779195614779522,0.7962817508076183,0.017086136028096277,0.7962817508076183,0.0,,0.017086136028096277,0,,0.8733739721411766,True,medium
15_rini_sampath,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Rini Sampath,RINI SAMPATH,3093,102020,3.0317584787296608,144,0.5231813059782893,0.758745050149077,0.23556374417078774,0.758745050149077,0.0,,0.23556374417078774,0,,0.6370114980295729,True,medium
15_kenyan_r_mcduffie,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Kenyan R. McDuffie,KENYAN R MCDUFFIE,37314,102020,36.57518133699275,144,0.4448879954836561,0.6749616260803221,0.23007363059666597,0.6749616260803221,0.0,,0.23007363059666597,0,,4.860632044098629,True,medium
15_gary_goodweather,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Gary Goodweather,GARY GOODWEATHER,3127,102020,3.065085277396589,144,0.5713809212191916,0.5989394841375644,0.027558562918372775,0.5989394841375644,0.0,,0.027558562918372775,0,,0.8686185147478267,True,low
15_janeese_lewis_george,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Janeese Lewis George,JANEESE LEWIS GEORGE,54105,102020,53.03371887865124,144,0.3128075917203117,0.5411419318840477,0.228334340163736,0.5411419318840477,0.0,,0.228334340163736,0,,5.893321302739405,True,low
15_ernest_e_johnson,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Ernest E. Johnson,ERNEST E JOHNSON,535,102020,0.5244069790237208,143,0.4222243614897081,0.5031264157459584,0.0809020542562503,0.4944229546322988,0.008703461113659605,0.1904119224882178,0.07469302899014496,1,zprior_2018_primary_certified_june_19_2018_primary_election_certified__ernest_e_johnson,0.3141678332847346,True,low
15_hope_solomon,15,DEM MAYOR OF THE DISTRICT OF COLUMBIA,MAYOR,Hope Solomon,HOPE SOLOMON,1113,102020,1.0909625563614977,144,0.11930610923786322,0.3006767342657001,0.18137062502783685,0.3006767342657001,0.0,,0.18137062502783685,0,,0.5789578453004727,True,low
65_robert_l_gross,65,STG MAYOR OF THE DISTRICT OF COLUMBIA ,MAYOR,Robert L. Gross,ROBERT L GROSS,312,312,100.0,111,-inf,-inf,,-inf,,,,0,,3.917586975542174e-14,False,exclude
25_david_meadows,25,DEM NATIONAL COMMITTEEMAN ,NATIONAL COMMITTEEMAN,David Meadows,DAVID MEADOWS,34269,79265,43.233457389768496,144,0.6201315617724827,0.7252369561674635,0.10510539439498079,0.7252369561674635,0.0,,0.10510539439498079,0,,4.413691791121203,True,medium
25_philip_pannell,25,DEM NATIONAL COMMITTEEMAN ,NATIONAL COMMITTEEMAN,Philip Pannell,PHILIP PANNELL,39165,79265,49.410206270106606,144,0.5156109787592774,0.6821595411450632,0.16654856238578575,0.6821595411450632,0.0,,0.16654856238578575,0,,5.044891880681247,True,low
25_mike_panetta,25,DEM NATIONAL COMMITTEEMAN ,NATIONAL COMMITTEEMAN,Mike Panetta,MIKE PANETTA,5831,79265,7.356336340124898,144,0.30229670590823177,0.5102639274613879,0.20796722155315617,0.5102639274613879,0.0,,0.20796722155315617,0,,1.5595716577390908,True,low
26_wanda_d_lockridge,26,DEM NATIONAL COMMITTEEWOMAN ,NATIONAL COMMITTEEWOMAN,Wanda D. Lockridge,WANDA D LOCKRIDGE,41650,77015,54.08037395312601,144,0.7740654378485561,0.8542523747398587,0.08018693689130263,0.8542523747398587,0.0,,0.08018693689130263,0,,4.805229524780277,True,medium
26_kelsye_adams,26,DEM NATIONAL COMMITTEEWOMAN ,NATIONAL COMMITTEEWOMAN,Kelsye Adams,KELSYE ADAMS,35365,77015,45.91962604687399,144,0.7740654378485561,0.8542523747398586,0.08018693689130252,0.8542523747398586,0.0,,0.08018693689130252,0,,4.805229524780283,True,medium
24_franklin_garcia,24,DEM UNITED STATES REPRESENTATIVE ,UNITED STATES REPRESENTATIVE,Franklin Garcia,FRANKLIN GARCIA,73496,73496,100.0,144,-inf,-inf,,-inf,,,,0,,1.9905065250390585e-13,False,exclude
23_paul_strauss,23,DEM UNITED STATES SENATOR ,UNITED STATES SENATOR,Paul Strauss,PAUL STRAUSS,75579,75579,100.0,144,-inf,-inf,,-inf,,-inf,,1,zprior_2020_general_certified_november_3_2020_general_election_certifi_paul_strauss,4.677739677087326e-14,False,exclude
