model_key,contest_name,contest_family,candidate,term,coef_pp_per_sd,p_value,unique_drop_r2,expanded_r2,term_group,valid_model,reliability
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zmedInc,1.6164502251964323e-14,0.5073108927717749,,-inf,income,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zpCollege,1.504744934814195e-14,0.7150541124666703,,-inf,college,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zpRenter,-4.378208273499032e-15,0.831758680528486,,-inf,renter,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zp2534,2.5300168384599524e-14,0.2715263497007216,,-inf,age_25_34,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zpTransit,-3.3788038880201836e-17,0.9980938575097584,,-inf,transit,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zdensity,9.214175128053038e-15,0.5217890930003395,,-inf,density,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zprior_2022_primary_certified_june_21_2022_primary_election_certified__phil_mendelson,-1.815649642033597e-14,0.40456270192604216,,-inf,prior_territory,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zprior_2022_general_certified_november_8_2022_general_election_certifi_phil_mendelson,-3.847500377941899e-15,0.8127325920527302,,-inf,prior_territory,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zprior_2018_primary_certified_june_19_2018_primary_election_certified__phil_mendelson,-1.921953800205106e-15,0.9282636387983629,,-inf,prior_territory,False,exclude
16_phil_mendelson,DEM CHAIRMAN OF THE COUNCIL OF THE DISTRICT OF COLUMBIA,COUNCIL CHAIR,Phil Mendelson,zprior_2018_general_certified_november_6_2018_general_election_certifi_phil_mendelson,-1.4963116221106646e-14,0.5409035958416618,,-inf,prior_territory,False,exclude
